Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
0,"J.ř. Šmíd, Z. Godálová, Ľ. Piknová, P. Siekel, T. Kuchta","Semi-quantitative estimation of soya protein-based additives in meat products using real-time polymerase chain reaction",2015,"Journal of Food and Nutrition Research","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84929147995&partnerID=40&md5=ed14a5ebfa245267288d8aa03c2aacb6","",20,"2015-11-17","Article"
1,"V. Ranjani, S. Janeček, K.P. Chai, S. Shahir, R.N.Z.R.A. Rahman, K.-G. Chan, K.M. Goh","Protein engineering of selected residues from conserved sequence regions of a novel Anoxybacillus α-amylase",2014,"Scientific Reports","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84905180510&partnerID=40&md5=3c1b113a06c935ef6265238ae48a0893","",43,"2015-11-17","Article"
1,"F. Delporte, A. Pretova, P. du Jardin, B. Watillon","Morpho-histology and genotype dependence of in vitro morphogenesis in mature embryo cultures of wheat",2014,"Protoplasma","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84919438890&partnerID=40&md5=f194a5dff00f47da365d12603698771a","",64,"2015-11-17","Article"
1,"A. Kopcakova, Z. Stramova, S. Kvasnova, A. Godany, Z. Perhacova, P. Pristas","Need for database extension for reliable identification of bacteria from extreme environments using MALDI TOF mass spectrometry",2014,"Chemical Papers","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84912569270&partnerID=40&md5=683d8a6b629a19e95701c32844182156","",70,"2015-11-17","Article"
2,"K. Majzlová, Š. Janeček","Two structurally related starch-binding domain families CBM25 and CBM26",2014,"Biologia (Poland)","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84907562690&partnerID=40&md5=a7d40a37b280e35cd68dd5915a767ff5","",74,"2015-11-17","Review"
1,"L. Tišáková, B. Vidová, J. Farkašovská, A. Godány","Bacteriophage endolysin Lyt μ1/6: Characterization of the C-terminal binding domain",2014,"FEMS Microbiology Letters","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84893002866&partnerID=40&md5=c72ff57a1df96468fc2c47f014665f57","",81,"2015-11-17","Article"
0,"B. Vidová, Z. Šramková, L. Tišáková, M. Oravkinová, A. Godány","Bioinformatics analysis of bacteriophage and prophage endolysin domains",2014,"Biologia (Poland)","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84897084862&partnerID=40&md5=dc5350ec6bdadba772ab3b3dd1391274","",83,"2015-11-17","Article"
10,"K. Majzlová, Z. Pukajová, Š. Janeček","Tracing the evolution of the α-amylase subfamily GH13-36 covering the amylolytic enzymes intermediate between oligo-1,6-glucosidases and neopullulanases",2013,"Carbohydrate Research","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84872127693&partnerID=40&md5=260eb1f9a3d38dcf7da40f4cf723cfa7","",130,"2015-11-17","Article"
9,"F. Puspasari, O.K. Radjasa, A.S. Noer, Z. Nurachman, Y.M. Syah, M. van der Maarel, L. Dijkhuizen, S. Janeček, D. Natalia","Raw starch-degrading α-amylase from Bacillus aquimaris MKSC 6.2: Isolation and expression of the gene, bioinformatics and biochemical characterization of the recombinant enzyme",2013,"Journal of Applied Microbiology","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84871118741&partnerID=40&md5=ec0b250164eeae71aff578888877fc3d","",135,"2015-11-17","Article"
6,"Š. Janeček, A. Kuchtová","In silico identification of catalytic residues and domain fold of the family GH119 sharing the catalytic machinery with the α-amylase family GH57",2012,"FEBS Letters","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84866630737&partnerID=40&md5=ff76af42adb25af217a9729fa66f596d","",147,"2015-11-17","Article"
