Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC
1,"A. Šuňovská, V. Hasíková, M. Horník, M. Pipíška, S. Hostin, J. Lesný","Removal of Cd by dried biomass of freshwater moss Vesicularia dubyana: batch and column studies",2016,"Desalination and Water Treatment","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953836860&doi=10.1080%2f19443994.2015.1026281&partnerID=40&md5=76fad2aa0cc0fa8627e6a78b0eb5d7cc","",1,"2016-12-21","Article","10.1080/19443994.2015.1026281","","",57,6,2657,2668,1
0,"R. Stasiak-Betlejewska, W. Tomasz, D. Domljan, J. Hollý, P. Vaško","Consumer behavioural research in furniture industry branding-case study of polish enterprise",2016,"27th International Conference on Wood Science and Technology, ICWST 2016: Implementation of Wood Science in Woodworking Sector - Proceedings","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003533268&partnerID=40&md5=678f97156b578f6b18cfea0a1491b146","",2,"2016-12-21","Conference Paper","","","",0,0,215,221,0
1,"M. Plesko, J. Suvada, M. Makohusova, I. Waczulikova, D. Behulova, A. Vasilenkova, M. Vargova, A. Stecova, E. Kaiserova, A. Kolenova","The role of CRP,PCT,IL-6 and presepsin in early diagnosis of bacterial infectious complications in paediatric haemato-oncological patients",2016,"Neoplasma","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992418592&doi=10.4149%2fneo_2016_512&partnerID=40&md5=427149c58300b5c7fff699a35cefcc9a","",3,"2016-12-21","Article","10.4149/neo_2016_512","","",63,5,752,760,1
5,"V. Frišták, M. Pipíška, J. Lesný, G. Soja, W. Friesl-Hanl, A. Packová","Utilization of biochar sorbents for Cd2+, Zn2+, and Cu2+ ions separation from aqueous solutions: comparative study",2015,"Environmental Monitoring and Assessment","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939145701&doi=10.1007%2fs10661-014-4093-y&partnerID=40&md5=bda384bf866e708258f257969052af2a","",4,"2016-12-21","Article","10.1007/s10661-014-4093-y","","",187,1,0,0,5
1,"K. Matelková, R. Boča, ̗. Dlháň, R. Herchel, J. Moncol, I. Svoboda, A. Mašlejová","Dinuclear and polymeric (μ-formato)nickel(II) complexes: Synthesis, structure, spectral and magnetic properties",2015,"Polyhedron","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928578956&doi=10.1016%2fj.poly.2015.04.010&partnerID=40&md5=81d5292a5b690ce0b6515cf1ed1ed4c2","",5,"2016-12-21","Article","10.1016/j.poly.2015.04.010","","",95,0,45,53,1
11,"I. Nemec, R. Herchel, I. Svoboda, R. Boča, Z. Trávníček","Large and negative magnetic anisotropy in pentacoordinate mononuclear Ni(II) Schiff base complexes",2015,"Dalton Transactions","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930619009&doi=10.1039%2fc5dt00600g&partnerID=40&md5=d862320849df4d7b68d61d04d9238780","",6,"2016-12-21","Article","10.1039/c5dt00600g","","",44,20,9551,9560,11
0,"J. Stubna, M. Hostovecky, D. Tothova","Documentary movies as a motivation in science subjects",2015,"ICETA 2014 - 12th IEEE International Conference on Emerging eLearning Technologies and Applications, Proceedings","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990227075&doi=10.1109%2fICETA.2014.7107579&partnerID=40&md5=4c702733b379917e8f059693a342906c","",7,"2016-12-21","Conference Paper","10.1109/ICETA.2014.7107579","","",0,0,169,174,0
2,"J. Horilova, B. Cunderlikova, A.M. Chorvatova","Time- And spectrally resolved characteristics of flavin fluorescence in U87MG cancer cells in culture",2015,"Journal of Biomedical Optics","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920518021&doi=10.1117%2f1.JBO.20.5.051017&partnerID=40&md5=bfe93672827dc6cee0e1c7289821fa88","",8,"2016-12-21","Article","10.1117/1.JBO.20.5.051017","","",20,5,0,0,2
12,"S. Hazra, A. Karmakar, M.D.F.C. Guedes Da Silva, L. Dlháň, R. Boča, A.J.L. Pombeiro","Sulfonated Schiff base dinuclear and polymeric copper(ii) complexes: Crystal structures, magnetic properties and catalytic application in Henry reaction",2015,"New Journal of Chemistry","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929001179&doi=10.1039%2fc5nj00330j&partnerID=40&md5=cf94269c8147354938b0f92f28082e0b","",9,"2016-12-21","Article","10.1039/c5nj00330j","","",39,5,3424,3434,12
1,"L.C. Owono Owono, F. Ntie-Kang, M. Keita, E. Megnassan, V. Frecer, S. Miertus","Virtually designed triclosan-based inhibitors of enoyl-acyl carrier protein reductase of mycobacterium tuberculosis and of plasmodium falciparum",2015,"Molecular Informatics","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930668908&doi=10.1002%2fminf.201400141&partnerID=40&md5=d69c5daeb77860de7b4299dab41d1d66","",10,"2016-12-21","Article","10.1002/minf.201400141","","",34,5,292,307,1
1,"J. Vančo, Z. Trávníček, O. Kozák, R. Boča","Structural, magnetic and luminescent properties of lanthanide complexes with N-Salicylideneglycine",2015,"International Journal of Molecular Sciences","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929377638&doi=10.3390%2fijms16059520&partnerID=40&md5=2ff7e2b805c24e43bf2a7f75b43903bc","",11,"2016-12-21","Article","10.3390/ijms16059520","","",16,5,9520,9539,1
2,"J. Miklovič, A. Packová, P. Segl'A, J. Titiš, M. Koman, J. Moncol, R. Boča, V. Jorík, H. Krekuska, D. Valigura","Synthesis, crystal structures, spectral and magnetic properties of nickel(II) pyridinecarboxylates with N-heterocyclic ligands",2015,"Inorganica Chimica Acta","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923557724&doi=10.1016%2fj.ica.2015.01.046&partnerID=40&md5=f7a8480103dd201072268304d3c1aa23","",12,"2016-12-21","Article","10.1016/j.ica.2015.01.046","","",429,0,73,80,2
0,"M. Hudcovicová, E. Korbelová, S. Šliková, L. Klčová, D. Mihálik, J. Kraic","Molecular selection of tomato and pepper breeding lines possessing resistance alleles against tobamoviruses",2015,"Agriculture","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929590452&doi=10.1515%2fagri-2015-0008&partnerID=40&md5=5a7e7396927c436fa30fea59da05e8e6","",13,"2016-12-21","Article","10.1515/agri-2015-0008","","",61,1,33,37,0
6,"C. Krüger, P. Augustín, L. Dlháň, J. Pavlik, J. Moncol', I. Nemec, R. Boča, F. Renz","Iron(III) complexes with pentadentate Schiff-base ligands: Influence of crystal packing change and pseudohalido coligand variations on spin crossover",2015,"Polyhedron","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918840283&doi=10.1016%2fj.poly.2014.11.014&partnerID=40&md5=9428c52a22d7d7b3d248858d79056ef0","",14,"2016-12-21","Article","10.1016/j.poly.2014.11.014","","",87,0,194,201,6
1,"R. Uhrecký, I. Svoboda, Z. Růžičková, M. Koman, ̗. Dlháň, J. Pavlik, J. Moncol, R. Boča","Synthesis, structure and magnetism of manganese and iron dipicolinates with N,N′-donor ligands",2015,"Inorganica Chimica Acta","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911468234&doi=10.1016%2fj.ica.2014.10.006&partnerID=40&md5=93cb454256c3be249cedbaa7d1a2df67","",15,"2016-12-21","Article","10.1016/j.ica.2014.10.006","","",425,0,134,144,1
0,"J. Uhrovčík, J. Lesný","Determination of indium in liquid crystal displays by flame atomic absorption spectrometry",2015,"Journal of Industrial and Engineering Chemistry","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920750184&doi=10.1016%2fj.jiec.2014.06.020&partnerID=40&md5=0ba0eed530cdc326e50d9034ae4ead3c","",16,"2016-12-21","Article","10.1016/j.jiec.2014.06.020","","",21,0,163,165,0
0,"J.V. Ál, R. Boča","Redox behavior of dopamine in the presence of ferritin",2015,"ECS Electrochemistry Letters","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928739192&doi=10.1149%2f2.0011506eel&partnerID=40&md5=aa5ac156fbc9411a3d9bcee696584d7c","",17,"2016-12-21","Article","10.1149/2.0011506eel","","",4,6,0,0,0
1,"V. Frišták, M. Pipíška, M. Nováková, J. Lesný, A. Packová","Sorption separation of cadmium from aqueous solutions by alginite material: kinetic and equilibrium study",2015,"Desalination and Water Treatment","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942373854&doi=10.1080%2f19443994.2014.935811&partnerID=40&md5=a344eae665bcfb9ea6573c0108567222","",18,"2016-12-21","Article","10.1080/19443994.2014.935811","","",56,2,379,387,1
1,"K. Lenghartová, L. Lauko, E. Beinrohr","Analytical methods for the determination of nitrites [Analytické metódy na stanovenie dusitanov]",2015,"Chemicke Listy","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927537652&partnerID=40&md5=b869b89f1c5c587920713e266a112061","",19,"2016-12-21","Article","","","",109,3,191,197,1
2,"K. Lenghartova, L. Lauko, F. Cachob, E. Beinrohr","Determination of nitrites in water by in-electrode coulometric titration in reticulated vitreous carbon electrode",2015,"Acta Chimica Slovenica","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926660096&doi=10.17344%2facsi.2014.838&partnerID=40&md5=2cb2e0159a866cb4e2aaa0e2ec9981d8","",20,"2016-12-21","Article","10.17344/acsi.2014.838","","",62,1,152,158,2
0,"L. Lauko, F. Cacho, K. Lenghartova, J. Sadecka, E. Beinrohr","Determination of Nitrates in Water Samples by In-Electrode Coulometric Titration in Copper Coated Porous Vitreous Carbon Electrode",2015,"Electroanalysis","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931559753&doi=10.1002%2felan.201400679&partnerID=40&md5=71b96fc4aa41ed8cdf0596443bba3176","",21,"2016-12-21","Article","10.1002/elan.201400679","","",27,6,1473,1478,0
0,"V. Frišták, T. Gablovičová, M. Pipíška, B. Micháleková, J. Lesný","Application of &lt;sup&gt;65&lt;/sup&gt;Zn and &lt;sup&gt;54&lt;/sup&gt;Mn isotopic dilution for evaluation of available soil manganese and zinc fractions in Western Slovak region",2015,"Journal of Radioanalytical and Nuclear Chemistry","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925503027&doi=10.1007%2fs10967-014-3806-6&partnerID=40&md5=891d89dc08f1c066dd0f065df71502a3","",22,"2016-12-21","Article","10.1007/s10967-014-3806-6","","",303,3,2489,2495,0
1,"J. Krňanová, N. Denderz, J. Lehotay, M. Samohýl","Determination of some flavonoids by HPLC using quercetin-molecularly imprinted polymers",2015,"Journal of Liquid Chromatography and Related Technologies","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921326547&doi=10.1080%2f10826076.2014.951768&partnerID=40&md5=63d7d558ff2f945f6ed2c1d743ff6c7b","",23,"2016-12-21","Article","10.1080/10826076.2014.951768","","",38,6,702,708,1
2,"D. Pagáčiková, J. Lehotay","Determination of synthetic colors in meat products using high-performance liquid chromatography with photodiode array detector",2015,"Journal of Liquid Chromatography and Related Technologies","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921287788&doi=10.1080%2f10826076.2014.922473&partnerID=40&md5=0e7f3d962c2e4584182c0ef25af11f46","",24,"2016-12-21","Article","10.1080/10826076.2014.922473","","",38,5,579,583,2
