Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC
215,"…, J Hodosy, J Lukács, J Turna, P Celec","Vectors and delivery systems in gene therapy",2005,"Medical Science …","medscimonit.com","http://www.medscimonit.com/abstract/index/idArt/15907/act/2","https://scholar.google.com/scholar?cites=16101637703433114039&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,"2016-11-25","","","","",0,0,0,0,215
112,"P Celec","Nuclear factor kappa B—molecular biomedicine: the next generation",2004,"Biomedicine & pharmacotherapy","Elsevier","http://www.sciencedirect.com/science/article/pii/S075333220400085X","https://scholar.google.com/scholar?cites=14453974097466140781&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,"2016-11-25","","","","",0,0,0,0,112
82,"P Celec, L Starka","Dehydroepiandrosterone-is the fountain of youth drying out",2003,"Physiol Res","georgesdebled.org","http://georgesdebled.org/DHEA%20fountain%20of%20youth%20drying%20out.pdf","https://scholar.google.com/scholar?cites=10333624315852984917&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,"2016-11-25","PDF","","","",0,0,0,0,82
88,"…, R Gardlík, M Behuliak, L Kadasi, J Turna, P Celec","On the physiology and pathophysiology of antimicrobial peptides",2009,"Mol Med","researchgate.net","https://www.researchgate.net/profile/Ludevit_Kadasi/publication/23479989_On_the_physiology_and_pathophysiology_of_antimicrobial_peptides/links/00463522ed7610db5a000000.pdf","https://scholar.google.com/scholar?cites=18203932626226811093&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,"2016-11-25","PDF","","","",0,0,0,0,88
65,"…, J Hybenova, V Melus, S Celec, ...","Cytotoxic T lymphocyte antigen 4 (CTLA-4) dimorphism in patients with systemic lupus erythematosus.",1998,"Clinical and …","europepmc.org","http://europepmc.org/abstract/med/10609073","https://scholar.google.com/scholar?cites=18294413757425073806&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,"2016-11-25","","","","",0,0,0,0,65
68,"P Boor, P Celec, M Behuliak, P Grančič, A Kebis, ...","Regular moderate exercise reduces advanced glycation and ameliorates early diabetic nephropathy in obese Zucker rats",2009,"Metabolism","Elsevier","http://www.sciencedirect.com/science/article/pii/S0026049509002248","https://scholar.google.com/scholar?cites=15295975502807060829&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,"2016-11-25","","","","",0,0,0,0,68
68,"M Kopáni, P Celec, L Danišovič, P Michalka, C Biró","Oxidative stress and electron spin resonance",2006,"Clinica chimica acta","Elsevier","http://www.sciencedirect.com/science/article/pii/S0009898105004869","https://scholar.google.com/scholar?cites=12900656231547748871&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,"2016-11-25","","","","",0,0,0,0,68
56,"…, M Behuliak, P Reško, J Radvánský, P Celec","Bacteria in gene therapy: bactofection versus alternative gene therapy",2006,"Gene therapy","nature.com","http://www.nature.com/gt/journal/v13/n2/abs/3302635a.html","https://scholar.google.com/scholar?cites=6982592562271874672&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,"2016-11-25","","","","",0,0,0,0,56
54,"…, J Kunes, S Hojna, M Behuliak, P Celec, ...","Regression of L-NAME-induced hypertension: the role of nitric oxide and endothelium-derived constricting factor",2008,"Hypertension …","researchgate.net","https://www.researchgate.net/profile/Ludovit_Paulis/publication/51407768_Regression_of_L-NAME-induced_hypertension_the_role_of_nitric_oxide_and_endothelium-derived_constricting_factor/links/53eda8cb0cf26b9b7dc5f20a.pdf","https://scholar.google.com/scholar?cites=14034397215830795475&as_sdt=2005&sciodt=0,5&hl=en&num=20",9,"2016-11-25","PDF","","","",0,0,0,0,54
50,"I Jurkovicova, P Celec","Sleep apnea syndrome and its complications",2004,"Acta Medica Austriaca","biomed.szm.sk","http://biomed.szm.sk/pdf/publ/Sleep%20apnea%20syndrome%20and%20its%20compications.pdf","https://scholar.google.com/scholar?cites=11590460872116808546&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,"2016-11-25","PDF","","","",0,0,0,0,50
47,"P Celec, M Kukučková, V Renczésová, ...","Biological and biomedical aspects of genetically modified food",2005,"Biomedicine & …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0753332205001939","https://scholar.google.com/scholar?cites=15693550405429899628&as_sdt=2005&sciodt=0,5&hl=en&num=20",11,"2016-11-25","","","","",0,0,0,0,47
