Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
72,"Camilla Christiansen, Maher Abou Hachem, Stefan Janecek, Anders Vikso-Nielsen, Andreas Blennow, Birte Svensson","The carbohydrate-binding module family 20-diversity, structure, and function",2009,"FEBS JOURNAL","","","",1,"2016-05-17","Journal article"
73,"S. C. Mojumdar, P. Simon, A. Krutosikova","[1]Benzofuro[3,2-c]pyridine synthesis and coordination reactions",2009,"JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY","","","",2,"2016-05-17","Journal article"
48,"Zita Puterova, Alzbeta Krutosikova, Daniel Vegh","Gewald reaction: synthesis, properties and applications of substituted 2-aminothiophenes",2010,"ARKIVOC","","","",4,"2016-05-17","Journal article"
47,"Dmytro S. Nesterov, Eduard N. Chygorin, Volodymyr N. Kokozay, Volodymyr V. Bon, Roman Boca, Yuriy N. Kozlov, Lidia S. Shul'pina, Julia Jezierska, Andrew Ozarowski, Armando J. L. Pombeiro, Georgiy B. Shul'pin","Heterometallic (Co4Fe2III)-Fe-III Schiff Base Complex: Structure, Electron Paramagnetic Resonance, and Alkane Oxidation Catalytic Activity",2012,"INORGANIC CHEMISTRY","","","",5,"2016-05-17","Journal article"
43,"Michal Kirchner, Renata Huskova, Eva Matisova, Jan Mocak","Fast gas chromatography for pesticide residues analysis using analyte protectants",2008,"JOURNAL OF CHROMATOGRAPHY A","","","",6,"2016-05-17","Journal article"
44,"Jan Titis, Roman Boca","Magnetostructural D Correlation in Nickel(II) Complexes: Reinvestigation of the Zero-Field Splitting",2010,"INORGANIC CHEMISTRY","","","",7,"2016-05-17","Journal article"
43,"Jan Titis, Roman Boca","Magnetostructural D Correlations in Hexacoordinated Cobalt(II) Complexes",2011,"INORGANIC CHEMISTRY","","","",8,"2016-05-17","Journal article"
39,"Roman Boca, Jozef Miklovic, Jan Titis","Simple Mononuclear Cobalt(II) Complex: A Single-Molecule Magnet Showing Two Slow Relaxation Processes",2014,"INORGANIC CHEMISTRY","","","",9,"2016-05-17","Journal article"
34,"Dasa Kruzlicova, Jan Mocak, Branko Balla, Jan Petka, Marta Farkova, Josef Havel","Classification of Slovak white wines using artificial neural networks and discriminant techniques",2009,"FOOD CHEMISTRY","","","",10,"2016-05-17","Journal article"
26,"Jana Viskupicova, Martina Danihelova, Miroslav Ondrejovic, Tibor Liptaj, Ernest Sturdik","Lipophilic rutin derivatives for antioxidant protection of oil-based foods",2010,"FOOD CHEMISTRY","","","",11,"2016-05-17","Journal article"
28,"A Jedinak, T Maliar, D Grancai, M Nagy","Inhibition activities of natural products on serine proteases",2006,"PHYTOTHERAPY RESEARCH","","","",12,"2016-05-17","Journal article"
25,"L. Vrtoch, M. Pipiska, M. Hornik, J. Augustin, J. Lesny","Sorption of cesium from water solutions on potassium nickel hexacyanoferrate-modified Agaricus bisporus mushroom biomass",2011,"JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY","","","",13,"2016-05-17","Journal article"
24,"Michaela Havrlentova, Zuzana Petrulakova, Alena Burgarova, Frantisek Gago, Andrea Hlinkova, Ernest Sturdik","Cereal beta-glucans and their Significance for the Preparation of Functional Foods - A Review",2011,"CZECH JOURNAL OF FOOD SCIENCES","","","",14,"2016-05-17","Journal article"
26,"Dmytro S. Nesterov, Volodymyr N. Kokozay, Julia Jezierska, Oleksiy V. Pavlyuk, Roman Boca, Armando J. L. Pombeiro","Heterometallic Cu/Co and Cu/Co/Zn Complexes Bearing Rare Asymmetric Tetranuclear Cores: Synthesis, Structures, and Magnetic and Catalytic Properties Toward the Peroxidative Oxidation of Cycloalkanes",2011,"INORGANIC CHEMISTRY","","","",15,"2016-05-17","Journal article"
23,"V Horvathova, S Janecek, E Sturdik","Amylolytic enzymes: Molecular aspects of their properties",2001,"GENERAL PHYSIOLOGY AND BIOPHYSICS","","","",16,"2016-05-17","Journal article"
25,"Lucia Remenarova, Martin Pipiska, Miroslav Hornik, Marian Rozloznik, Jozef Augustin, Juraj Lesny","Biosorption of cadmium and zinc by activated sludge from single and binary solutions: Mechanism, equilibrium and experimental design study",2012,"JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS","","","",17,"2016-05-17","Journal article"
23,"Jana Maresova, Martin Pipiska, Marian Rozloznik, Miroslav Hornik, Lucia Remenarova, Jozef Augustin","Cobalt and strontium sorption by moss biosorbent: Modeling of single and binary metal systems",2011,"DESALINATION","","","",18,"2016-05-17","Journal article"
24,"Ivan Salitros, Jan Pavlik, Roman Boca, Olaf Fuhr, Chandrasekar Rajadurai, Mario Ruben","Supramolecular lattice-solvent control of iron(II) spin transition parameters",2010,"CRYSTENGCOMM","","","",19,"2016-05-17","Journal article"
23,"Sk Md Towsif Abtab, Mithun Chandra Majee, Manoranjan Maity, Jan Titis, Roman Boca, Muktimoy Chaudhury","Tetranuclear Hetero-Metal [Co(2)(II)Ln(2)(III)] (Ln = Gd, Tb, Dy, Ho, La) Complexes Involving Carboxylato Bridges in a Rare mu(4)-eta(2):eta(2) Mode: Synthesis, Crystal Structures, and Magnetic Properties",2014,"INORGANIC CHEMISTRY","","","",20,"2016-05-17","Journal article"
22,"B. Papankova, R. Boca, L. Dlhan, I. Nemec, J. Titis, I. Svoboda, H. Fuess","Magneto-structural relationships for a mononuclear Co(II) complex with large zero-field splitting",2010,"INORGANICA CHIMICA ACTA","","","",21,"2016-05-17","Journal article"
21,"Roman Boca, Radovan Herchel","Antisymmetric exchange in polynuclear metal complexes",2010,"COORDINATION CHEMISTRY REVIEWS","","","",22,"2016-05-17","Journal article"
20,"Eduard N. Chygorin, Oksana V. Nesterova, Julia A. Rusanoya, Vladimir N. Kokozay, Volodymyr V. Bon, Roman Boca, Andrew Ozarowski","Novel Heterometallic Schiff Base Complexes Featuring Unusual Tetranuclear {(Co2Fe2III)-Fe-III(mu-O)(6)} and Octanuclear {(Co4Fe4III)-Fe-III(mu-O)(14)} Cores: Direct Synthesis, Crystal Structures, and Magnetic Properties",2012,"INORGANIC CHEMISTRY","","","",23,"2016-05-17","Journal article"
19,"Roman Boca, Ivan Salitros, Jozef Kozisek, Jorge Linares, Jan Moncol, Franz Renz","Spin crossover in a heptanuclear mixed-valence iron complex",2010,"DALTON TRANSACTIONS","","","",24,"2016-05-17","Journal article"
18,"Cyril Rajnak, Jan Titis, Olaf Fuhr, Mario Ruben, Roman Boca","Single-Molecule Magnetism in a Pentacoordinate Cobalt(II) Complex Supported by an Antenna Ligand",2014,"INORGANIC CHEMISTRY","","","",25,"2016-05-17","Journal article"
17,"Orhan Atakol, Roman Boca, Ismail Ercan, Filiz Ercan, Hartmut Fuess, Wolfgang Haase, Radovan Herchel","Magnetic properties of trinuclear Ni-M-Ni complexes, M = Mn, Co and Ni",2006,"CHEMICAL PHYSICS LETTERS","","","",26,"2016-05-17","Journal article"
16,"Monika Idesicova, Jan Titis, J. Krzystek, Roman Boca","Zero-Field Splitting in Pseudotetrahedral Co(II) Complexes: a Magnetic, High-Frequency and -Field EPR, and Computational Study",2013,"INORGANIC CHEMISTRY","","","",27,"2016-05-17","Journal article"
16,"Renata Huskova, Eva Matisova, Lubomir Svorc, Jan Mocak, Michal Kirchner","Comparison of negative chemical ionization and electron impact ionization in gas chromatography-mass spectrometry of endocrine disrupting pesticides",2009,"JOURNAL OF CHROMATOGRAPHY A","","","",28,"2016-05-17","Journal article"
13,"Martin Machovic, Stefan Janecek","Domain evolution in the GH13 pullulanase subfamily with focus on the carbohydrate-binding module family 48",2008,"BIOLOGIA","","","",29,"2016-05-17","Journal article"
13,"Katarina Majzlova, Zuzana Pukajova, Stefan Janecek","Tracing the evolution of the alpha-amylase subfamily GH13_36 covering the amylolytic enzymes intermediate between oligo-1,6-glucosidases and neopullulanases",2013,"CARBOHYDRATE RESEARCH","","","",30,"2016-05-17","Journal article"
15,"Margita Lacova, Renata Gasparova, Pavol Kois, Andrej Bohac, Hafez M. El-Shaaer","A facile route to phenyl, phenylsulfanyl and phenylselanyl substituted pyrano[3,2-c]chromenes",2010,"TETRAHEDRON","","","",31,"2016-05-17","Journal article"
15,"M Machovic, S Janecek","The invariant residues in the alpha-amylase family: just the catalytic triad",2003,"BIOLOGIA","","","",32,"2016-05-17","Journal article"
13,"M. Idesicova, L. Dlhan, J. Moncol, J. Titis, R. Boca","Zero-field splitting in tetracoordinate Co(II) complexes",2012,"POLYHEDRON","","","",33,"2016-05-17","Journal article"
12,"Tae-Yang Jung, Dan Li, Jong-Tae Park, Se-Mi Yoon, Phuong Lan Tran, Byung-Ha Oh, Stefan Janecek, Sung Goo Park, Eui-Jeon Woo, Kwan-Hwa Park","Association of Novel Domain in Active Site of Archaic Hyperthermophilic Maltogenic Amylase from Staphylothermus marinus",2012,"JOURNAL OF BIOLOGICAL CHEMISTRY","","","",34,"2016-05-17","Journal article"
13,"Martin Pipiska, Miroslav Hornik, Lubos Vrtoch, Jozef Augustin, Juraj Lesny","Biosorption of Co2+ ions by lichen Hypogymnia physodes from aqueous solutions",2007,"BIOLOGIA","","","",35,"2016-05-17","Journal article"
12,"V Horvathova, S Janecek, E Sturdik","Amylolytic enzymes: their specificities, origins and properties",2000,"BIOLOGIA","","","",36,"2016-05-17","Journal article"
12,"Lucia Remenarova, Martin Pipiska, Eva Florkova, Miroslav Hornik, Marian Rozloznik, Jozef Augustin","Zeolites from coal fly ash as efficient sorbents for cadmium ions",2014,"CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY","","","",37,"2016-05-17","Journal article"
12,"Jan Titis, Jozef Miklovic, Roman Boca","Magnetostructural study of tetracoordinate cobalt(II) complexes",2013,"INORGANIC CHEMISTRY COMMUNICATIONS","","","",38,"2016-05-17","Journal article"
11,"Jan Pavlik, Roman Boca","Established Static Models of Spin Crossover",2013,"EUROPEAN JOURNAL OF INORGANIC CHEMISTRY","","","",39,"2016-05-17","Journal article"
12,"F. Puspasari, O. K. Radjasa, A. S. Noer, Z. Nurachman, Y. M. Syah, M. van der Maarel, L. Dijkhuizen, S. Janecek, D. Natalia","Raw starch-degrading alpha-amylase from Bacillus aquimaris MKSC 6.2: isolation and expression of the gene, bioinformatics and biochemical characterization of the recombinant enzyme",2013,"JOURNAL OF APPLIED MICROBIOLOGY","","","",40,"2016-05-17","Journal article"
12,"J. Titis, J. Hudak, J. Kozisek, A. Krutosikova, J. Moncol', D. Tarabova, R. Boca","Structural, spectral and magnetic properties of carboxylato cobalt(II) complexes with heterocyclic N-donor ligands: Reconstruction of magnetic parameters from electronic spectra",2012,"INORGANICA CHIMICA ACTA","","","",41,"2016-05-17","Journal article"
12,"M. Pipiska, M. Hornik, L. Vrtoch, J. Augustin, J. Lesny","Biosorption of Zn and Co ions by Evernia prunastri from single and binary metal solutions",2008,"CHEMISTRY AND ECOLOGY","","","",42,"2016-05-17","Journal article"
