Query,Papers,Citations,Papers_Author,Cites_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index
KB-Scopus,380,5234,3.415,5.88,6.5,11,4.5,1.1,2.5,20.205,4.46,3.805,7.49,1.745
KB-GS,594,7289,8.915,6.5,6,11.5,6,1.48,3.5,22.055,4.685,6.37,9.825,2.34
KB-WoS,392,4982,5.48,6.13,7,9,5,1.17,3,21.56,4.64,4.75,7.55,1.98
KBt-Scopus,356,11492,4.44,7.76,5,12,5,0.84,3,24.57,4.96,4.9,9.27,1.9
KBt-GS,828,14901,12.1,4.27,7,16,6,1.73,4,37.05,6.09,10.4,12.45,3.33
KBt-WoS,351,3707,5.2,5.7,4,10,4,0.82,3,19.41,4.41,3.43,9,1.98
KCh-Scopus,1106,19248,5.335,10.965,7.5,14.5,6,1.545,4,40.94,6.365,10.98,10.815,3.17
KCh-GS,1525,25208,8.27,10.345,9,16.5,8,2.08,5,53.785,7.285,16.09,13.25,3.59
KCh-WoS,1120,19223,5.76,11.81,7.5,15,6.5,1.525,4,44.275,6.605,11.15,11.855,3.06
KER-Scopus,265,1773,5.53,6.63,9,14,8,1.72,3,58.01,7.62,12.52,9.27,3.87
KER-GS,543,2694,4.67,4.93,11,18,9,1.94,5,86.72,9.31,16.79,11.96,4.41
KER-WoS,275,1700,5.43,6.06,8,12,7,1.65,3,46.23,6.8,9.82,8.31,3.7
KBf-Scopus,211,5232,13.85,13.34,15,26,11,2.5,6,88.52,9.41,23.83,18.65,6.79
KBf-GS,320,8510,16.51,15.9,17,30,11,3.04,8,116.2,10.78,31.38,21.7,7.09
KBf-WoS,261,6011,20.85,14.675,16,32,9.5,2.905,8,101.105,9.9,23.2,25.16,6.91
KAIM-Scopus,91,615,3.92,0.8,1,1,2,0.5,1,1.5,1.22,0.5,1,0.83
KAIM-GS,151,616,5.95,1,2,3,2,1,1,3.25,1.8,1.38,2,1.25
KAIM-WoS,106,1382,2,0.25,1,1,1,0.5,1,0.25,0.5,0.25,0,0.5
